channel,countsA,countsB,sizeA,sizeB,cvA,cvB,rcs,linearity,pg,ploidy,
ALHR1 + Soy 2017-09-27 746.LMD,586.732115538113,560.143212601538,105.379125665991,218.828893735569,0.082502701536805,0.031865579789412,2.03584741016859,1.95228011851768,1.20389867017894,NA,
ALHR2 + Soy 2017-09-27 747.LMD,2377.68261330251,1473.4477459819,57.1974155584499,119.143492511273,0.061314019627815,0.035973169068023,3.14659104686428,1.98151573387182,1.2001791779152,,
ALHR3 + Soy 2017-09-27 748.LMD,838.457078536012,1349.25457950407,70.8412291715156,150.10309490939,0.075568475357225,0.033997151752569,1.37075833291061,1.99409291897182,1.17987622464212,,
ALHR4 + Soy 2017-09-27 749.LMD,425.470173188712,196.465809859891,59.7784628976829,115.969052918962,0.049932669357645,0.091178712145674,4.85391110067333,1.85537713063476,NA,,
ALHR5 + Soy 2017-09-27 750.LMD,603.021986584529,1314.91221958136,58.641897442824,124.319064308402,0.099585089959279,0.036844171101516,1.23355350014863,NA,1.17926196133019,,
ALHR6 + Soy 2017-09-27 751.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
ALHR7 + Soy 2017-09-27 752.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ALHR8 + Soy 2017-09-27 753.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ALHR9 + Soy 2017-09-27 754.LMD,0,409.351387133109,65.0049411033112,140.176728714933,0.040572435441345,0.036533409928497,5.85E+108,NA,1.15933903043755,NA,
ARWR1 + Soy 2017-09-27 778.LMD,504.850685373978,567.725873049973,64.7668039374275,132.338039844099,0.082629844937507,0.037041219922921,1.39875542336604,1.85561886373992,1.22351071569682,,
ARWR10 + Soy 2017-09-27 787.LMD,2759.78667310113,750.602488256729,68.0527227968522,145.01629304755,0.09947097728845,0.040681571624226,1.3218763664732,1.98512088435636,NA,,
ARWR11 + Soy 2017-09-27 788.LMD,1078.99151357445,1439.70696323232,72.0194695315364,143.60699564542,0.072622290298253,0.033666745053591,1.05550162341438,1.97508220939114,1.25375976998641,NA,
ARWR12 + Soy 2017-09-27 789.LMD,325.008957367827,NA,103.071925394593,NA,0.072120092286638,NA,5.90572355825175,2.04003099526496,NA,,
ARWR13 + Soy 2017-09-27 790.LMD,1733.55856856269,2037.00320767147,50.9916640742171,99.7746981257763,0.085744918871154,0.054899168784772,2.13186587236134,2.01555230853198,NA,NA,
